"City with max Length","Country name","Number of  cities"
"Wazir Akbar Khan",Afghanistan,8
"Ura Vajgurore",Albania,6
"Bordj Bou Arreridj",Algeria,32
Escaldes-Engordany,Andorra,11
Camabatela,Angola,21
"Cassada Gardens","Antigua and Barbuda",6
"San Fernando del Valle de Catamarca",Argentina,612
"Erebuni Fortress",Armenia,14
"Sint Nicolaas",Aruba,11
"Kensington and Norwood",Australia,2043
"Bruck an der Grossglocknerstrasse",Austria,1400
Nakhchivan,Azerbaijan,8
"Palmetto Point",Bahamas,7
"Madinat Hamad",Bahrain,17
Narayanganj,Bangladesh,17
"Pine Housing Estate",Barbados,23
Radoshkovichi,Belarus,22
"Woluwe-Saint-Pierre - Sint-Pieters-Woluwe",Belgium,1150
"Benque Viejo del Carmen",Belize,7
Guayaramerin,Bolivia,17
"Bosanska Dubica","Bosnia and Herzegovina",40
Francistown,Botswana,5
"Posto Fiscal Rolim de Moura",Brazil,2044
"Bandar Seri Begawan",Brunei,8
"Dolna Oryakhovitsa",Bulgaria,222
"Vott Kampong Svay",Cambodia,14
Bafoussam,Cameroon,9
"Stanley Bridge, Hope River, Bayview, Cavendish and North Rustico",Canada,2145
"Coral Gables","Cayman Islands",7
"Cerrillos de Tamaya",Chile,121
"Chengxian Chengguanzhen",China,1798
"Municipio de Copacabana",Colombia,111
Lubumbashi,Congo,5
"San Jose de la Montana","Costa Rica",67
"Sesvetski Kraljevec",Croatia,143
"Santiago de Cuba",Cuba,10
"Kato Lakatamia",Cyprus,25
"Brandys nad Labem-Stara Boleslav","Czech Republic",960
"Bording Stationsby",Denmark,576
"San Fernando de Monte Cristi","Dominican Republic",23
"General Leonidas Plaza Gutierrez",Ecuador,69
"Madinat as Sadis min Uktubar",Egypt,39
"Botoncillal El Botoncillo","El Salvador",30
Kuressaare,Estonia,67
"Innan Glyvur","Faroe Islands",8
Kantomaanpaeae,Finland,475
"Rouffignac-Saint-Cernin-de-Reilhac",France,12883
Punaauia,"French Polynesia",7
Port-Gentil,Gabon,5
Gogolesubani,Georgia,9
"Bad Munster am Stein-Ebernburg",Germany,7627
Bolgatanga,Ghana,16
"Markopoulo Mesogaias",Greece,167
"Uummannaq Kommune",Greenland,17
"Capesterre-de-Marie-Galante",Guadeloupe,28
"Tamuning-Tumon-Harmon Village",Guam,6
"Santa Lucia Cotzumalguapa",Guatemala,43
"Port Kamsar",Guinea,8
Port-au-Prince,Haiti,10
"Ar Ramtha","Hashemite Kingdom of Jordan",7
"San Antonio de Flores",Honduras,19
"Tin Wan Resettlement Estate","Hong Kong",82
Jaszfelsoszentgyorgy,Hungary,739
Vestmannaeyjar,Iceland,18
"Khajuraho Group of Monuments",India,1020
"Kebayoran Lama Selatan",Indonesia,273
"Hasanabad-e Qadamgah",Iran,233
Sulaymaniyah,Iraq,16
"Kilbride Cross Roads",Ireland,292
"Port Saint Mary","Isle of Man",13
"Ben Shemen-Kefar Hano`ar",Israel,151
"Collefontana-Fontana Liri Inferiore",Italy,4487
"Portland Cottage",Jamaica,17
"Kii-nagashimaku-nagashima",Japan,1221
Ust-Kamenogorsk,Kazakhstan,43
"Sawa Sawa",Kenya,23
Mitrovica,Kosovo,5
"Janub as Surrah",Kuwait,16
Lapmezciems,Latvia,48
"Dik el Mehdi",Lebanon,18
Benghazi,Libya,5
Schellenberg,Liechtenstein,14
Heisdorf-sur-Alzette,Luxembourg,116
"Makedonska Kamenica",Macedonia,30
Antananarivo,Madagascar,7
"Kampung Paya Simpang Empat Genting",Malaysia,276
"San Pawl il-Bahar",Malta,66
"Les Trois-Ilets",Martinique,18
"Ebene CyberCity",Mauritius,13
"Tsoundzou 1",Mayotte,12
"Ejido Santa Maria Tianguistenco (Ejido el Rosario)",Mexico,748
Dalandzadgad,Mongolia,21
"Herceg Novi",Montenegro,10
"Fkih Ben Salah",Morocco,47
Mozambique,Mozambique,8
Kyauktada,"Myanmar [Burma]",6
"Katima Mulilo",Namibia,16
Bharatpur,Nepal,6
"Westerhaar-Vriezenveensewijk",Netherlands,1463
Mont-Dore,"New Caledonia",5
"Paraparaumu Beach","New Zealand",280
"San Juan del Sur",Nicaragua,13
"Port Harcourt",Nigeria,87
"Vestra Mosterhamn",Norway,905
"Al Sohar",Oman,7
"Dera Ghazi Khan",Pakistan,70
"Al Mawasi",Palestine,8
"Finca Blanco Numero Uno",Panama,73
"Port Moresby","Papua New Guinea",27
"Colonia Mariano Roque Alonso",Paraguay,27
"Hacienda La Palma",Peru,85
"Don Bosco Executive Village",Philippines,401
"Miedzybrodzie Zywieckie",Poland,1641
"Aguiar da Beira Municipality",Portugal,701
"Residencial Puerto Real","Puerto Rico",87
Kwanghui-dong,"Republic of Korea",93
"Vilniaus Apskritis","Republic of Lithuania",23
"Anenii Noi","Republic of Moldova",19
"Campulung Moldovenesc",Romania,355
Petropavlovsk-Kamchatsky,Russia,1036
"Anse La Raye","Saint Lucia",6
Fiorentino,"San Marino",5
"Madinat Yanbu` as Sina`iyah","Saudi Arabia",39
"Madina Kokoun",Senegal,12
"Banatsko Novo Selo",Serbia,93
"Bukit Panjang New Town",Singapore,34
"Druzstevna pri Hornade",Slovakia,230
"Lovrenc na Dravskem Polju",Slovenia,152
Emnambithi-Ladysmith,"South Africa",328
"Sant Pere, Santa Caterina i La Ribera",Spain,2454
"Sri Jayewardenepura Kotte","Sri Lanka",37
"Umm Durman",Sudan,6
"Nieuw Amsterdam",Suriname,9
"Piggs Peak",Swaziland,5
Enskede-Arsta-Vantoer,Sweden,1223
"Hausen am Albis / Hausen (Dorf)",Switzerland,1324
"Kaohsiung City",Taiwan,66
"Dar es Salaam",Tanzania,10
"Ban Pratunam Tha Khai",Thailand,166
"Ward of Tacarigua","Trinidad and Tobago",49
"Sidi Bouzid",Tunisia,12
"Magnesia ad Sipylum",Turkey,277
"Charlotte Amalie","U.S. Virgin Islands",5
Alekseyevo-Druzhkovka,Ukraine,230
"Ras al-Khaimah","United Arab Emirates",10
"London Borough of Wandsworth","United Kingdom",3041
"Fort Sill Indian School Reservation (historical)","United States",20936
"Colonia del Sacramento",Uruguay,16
"Puerto Ordaz and San Felix",Venezuela,90
"Thanh Pho Thai Nguyen",Vietnam,112
Livingstone,Zambia,9
"Victoria Falls",Zimbabwe,9
